,kingdom,phylum,class,order,family,scientificname,locality,month,year,taxonkey
14052,PLANTAE,BRYOPHYTA,BRYOPSIDA,GRIMMIALES,GRIMMIACEAE,"RACOMITRIUM CUCULLATIFOLIUM HAMPE, 1863",IGUAQUE,6.0,2005.0,2674286
14185,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,PORELLALES,LEJEUNEACEAE,RECTOLEJEUNEA BERTEROANA (GOTTSCHE EX STEPHANI) A.EVANS,IGUAQUE,6.0,2005.0,2688794
14194,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,PORELLALES,RADULACEAE,RADULA EPISCIA SPRUCE,IGUAQUE,6.0,2005.0,8426228
14226,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,PORELLALES,RADULACEAE,RADULA NUDICAULIS STEPH.,GUACHAROS,11.0,2005.0,7586673
14253,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,PORELLALES,RADULACEAE,RADULA NUDICAULIS STEPH.,GUACHAROS,11.0,2005.0,7586673
14263,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,PORELLALES,RADULACEAE,RADULA VOLUTA TAYLOR,GUACHAROS,11.0,2005.0,5710154
14265,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,PORELLALES,RADULACEAE,RADULA VOLUTA TAYLOR,GUACHAROS,11.0,2005.0,5710154
14269,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,PORELLALES,RADULACEAE,RADULA VOLUTA TAYLOR,GUACHAROS,11.0,2005.0,5710154
14286,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,PORELLALES,RADULACEAE,RADULA VOLUTA TAYLOR,IGUAQUE,3.0,1996.0,5710154
14290,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,PORELLALES,RADULACEAE,RADULA VOLUTA TAYLOR,GUACHAROS,11.0,2005.0,5710154
14296,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,PORELLALES,RADULACEAE,RADULA VOLUTA TAYLOR,GUACHAROS,11.0,2005.0,5710154
14321,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,PORELLALES,RADULACEAE,RADULACEAE,IGUAQUE,12.0,2006.0,2266
14331,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,PORELLALES,RADULACEAE,RADULA VOLUTA TAYLOR,IGUAQUE,6.0,2005.0,5710154
14333,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,PORELLALES,RADULACEAE,RADULACEAE,IGUAQUE,6.0,2005.0,2266
14432,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,PORELLALES,RADULACEAE,RADULACEAE,IGUAQUE,12.0,2006.0,2266
14434,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,PORELLALES,RADULACEAE,RADULACEAE,IGUAQUE,11.0,1996.0,2266
14470,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,PORELLALES,RADULACEAE,RADULACEAE,IGUAQUE,12.0,2006.0,2266
14857,PLANTAE,BRYOPHYTA,BRYOPSIDA,BRYALES,RHIZOGONIACEAE,"PYRRHOBRYUM MNIOIDES MANUEL, 1980",IGUAQUE,6.0,2005.0,2676459
14863,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,PORELLALES,RADULACEAE,RADULA MEXICANA LINDENB. & GOTTSCHE,IGUAQUE,6.0,2005.0,7914079
14933,PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,HYPNACEAE,PYLAISIELLA FALCATA (SCHIMP.) ANDO,TAMA,1.0,1999.0,8057508
14940,PLANTAE,BRYOPHYTA,BRYOPSIDA,BRYALES,RHIZOGONIACEAE,"PYRRHOBRYUM SPINIFORME MITTEN, 1868",IGUAQUE,6.0,2005.0,2676461
14948,PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,SEMATOPHYLLACEAE,PTEROGONIDIUM PULCHELLUM (HOOK.) MA¼LL.HAL.,IGUAQUE,6.0,2005.0,8825616
14975,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,PUYA TRIANAE BAKER,IGUAQUE,12.0,2006.0,2696306
14979,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,PUYA SANTOSII CUATREC.,SUMAPAZ,1.0,2006.0,2696323
14982,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,PUYA SANTOSII CUATREC.,SUMAPAZ,1.0,2006.0,2696323
14992,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,PUYA SANTOSII CUATREC.,SUMAPAZ,1.0,2006.0,2696323
15650,PLANTAE,BRYOPHYTA,BRYOPSIDA,LEUCODONTALES,NECKERACEAE,POROTRICHUM (BRID.) HAMPE,IGUAQUE,12.0,2006.0,9492611
15703,PLANTAE,BRYOPHYTA,BRYOPSIDA,LEUCODONTALES,NECKERACEAE,POROTRICHUM (BRID.) HAMPE,IGUAQUE,12.0,2006.0,9492611
15707,PLANTAE,BRYOPHYTA,BRYOPSIDA,LEUCODONTALES,NECKERACEAE,POROTRICHUM (BRID.) HAMPE,IGUAQUE,8.0,1996.0,9492611
15708,PLANTAE,BRYOPHYTA,BRYOPSIDA,LEUCODONTALES,NECKERACEAE,POROTRICHUM (BRID.) HAMPE,IGUAQUE,6.0,2005.0,9492611
15717,PLANTAE,BRYOPHYTA,BRYOPSIDA,ISOBRYALES,PRIONODONTACEAE,PRIONODON DENSUS (HEDW.) MA¼LL.HAL.,IGUAQUE,6.0,2005.0,9177403
15729,PLANTAE,BRYOPHYTA,BRYOPSIDA,ISOBRYALES,PRIONODONTACEAE,PRIONODON DENSUS (HEDW.) MA¼LL.HAL.,IGUAQUE,6.0,2005.0,9177403
15740,PLANTAE,BRYOPHYTA,BRYOPSIDA,ISOBRYALES,PRIONODONTACEAE,PRIONODON DENSUS (HEDW.) MA¼LL.HAL.,IGUAQUE,6.0,2005.0,9177403
15853,PLANTAE,BRYOPHYTA,BRYOPSIDA,ISOBRYALES,PRIONODONTACEAE,"PRIONODON FUSCOLUTESCENS HAMPE, 1865",IGUAQUE,6.0,2005.0,5282943
15869,PLANTAE,BRYOPHYTA,BRYOPSIDA,ISOBRYALES,PRIONODONTACEAE,"PRIONODON FUSCOLUTESCENS HAMPE, 1865",IGUAQUE,6.0,2005.0,5282943
15881,PLANTAE,BRYOPHYTA,BRYOPSIDA,ISOBRYALES,PRIONODONTACEAE,PRIONODONTACEAE,IGUAQUE,12.0,2006.0,8758
15911,PLANTAE,BRYOPHYTA,BRYOPSIDA,POTTIALES,POTTIACEAE,POTTIACEAE,IGUAQUE,3.0,1996.0,4671
15917,PLANTAE,BRYOPHYTA,BRYOPSIDA,ISOBRYALES,PRIONODONTACEAE,PRIONODONTACEAE,IGUAQUE,3.0,1996.0,8758
15918,PLANTAE,BRYOPHYTA,BRYOPSIDA,POTTIALES,POTTIACEAE,POTTIACEAE,IGUAQUE,3.0,1996.0,4671
15984,PLANTAE,BRYOPHYTA,BRYOPSIDA,POTTIALES,POTTIACEAE,"PSEUDOSYMBLEPHARIS SCHIMPERIANA H.CRUM, 1952",GALERAS,1.0,1995.0,2671164
16029,PLANTAE,BRYOPHYTA,BRYOPSIDA,POTTIALES,POTTIACEAE,POTTIACEAE,IGUAQUE,12.0,2006.0,4671
16124,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,PODOCARPACEAE,PRUMNOPITYS MONTANA (HUMB. & BONPL. EX WILLD.) DE LAUB.,IGUAQUE,6.0,2005.0,2687271
16166,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,PODOCARPACEAE,PRUMNOPITYS MONTANA (HUMB. & BONPL. EX WILLD.) DE LAUB.,IGUAQUE,12.0,2006.0,2687271
16176,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,PODOCARPACEAE,PRUMNOPITYS MONTANA (HUMB. & BONPL. EX WILLD.) DE LAUB.,IGUAQUE,12.0,2006.0,2687271
16183,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,PODOCARPACEAE,PRUMNOPITYS MONTANA (HUMB. & BONPL. EX WILLD.) DE LAUB.,IGUAQUE,6.0,2005.0,2687271
16494,PLANTAE,BRYOPHYTA,BRYOPSIDA,LEUCODONTALES,NECKERACEAE,POROTRICHUM LINDIGII (HAMPE) MITT.,GUACHAROS,11.0,2005.0,7541222
16543,PLANTAE,BRYOPHYTA,BRYOPSIDA,LEUCODONTALES,NECKERACEAE,POROTRICHUM LINDIGII (HAMPE) MITT.,GUACHAROS,11.0,2005.0,7541222
16641,PLANTAE,BRYOPHYTA,BRYOPSIDA,LEUCODONTALES,NECKERACEAE,"POROTRICHUM LONGIROSTRE MITTEN, 1869",IGUAQUE,6.0,2005.0,2678661
16643,PLANTAE,BRYOPHYTA,BRYOPSIDA,LEUCODONTALES,NECKERACEAE,"POROTRICHUM LONGIROSTRE MITTEN, 1869",GUACHAROS,11.0,2005.0,2678661
16726,PLANTAE,BRYOPHYTA,BRYOPSIDA,LEUCODONTALES,NECKERACEAE,"POROTRICHUM MUTABILE HAMPE, 1862",IGUAQUE,6.0,2005.0,2678640
16838,PLANTAE,BRYOPHYTA,BRYOPSIDA,LEUCODONTALES,NECKERACEAE,POROTRICHUM PINIFORME (BRID.) MITT.,GUACHAROS,11.0,2005.0,7360011
16861,PLANTAE,BRYOPHYTA,BRYOPSIDA,LEUCODONTALES,NECKERACEAE,POROTRICHUM PINIFORME (BRID.) MITT.,GUACHAROS,11.0,2005.0,7360011
16878,PLANTAE,BRYOPHYTA,BRYOPSIDA,LEUCODONTALES,NECKERACEAE,POROTRICHUM PINIFORME (BRID.) MITT.,GUACHAROS,11.0,2005.0,7360011
16892,PLANTAE,BRYOPHYTA,BRYOPSIDA,POLYTRICHALES,POLYTRICHACEAE,"POLYTRICHADELPHUS LONGISETUS MITTEN, 1869",GUACHAROS,11.0,2005.0,2682923
16903,PLANTAE,BRYOPHYTA,BRYOPSIDA,POLYTRICHALES,POLYTRICHACEAE,"POLYTRICHADELPHUS LONGISETUS MITTEN, 1869",GALERAS,1.0,1995.0,2682923
16944,PLANTAE,BRYOPHYTA,BRYOPSIDA,POLYTRICHALES,POLYTRICHACEAE,"POLYTRICHUM JUNIPERINUM HEDWIG, 1801",IGUAQUE,6.0,2005.0,2683092
17078,PLANTAE,BRYOPHYTA,BRYOPSIDA,POLYTRICHALES,POLYTRICHACEAE,"POLYTRICHUM JUNIPERINUM HEDWIG, 1801",GALERAS,1.0,1995.0,2683092
17107,PLANTAE,BRYOPHYTA,BRYOPSIDA,POLYTRICHALES,POLYTRICHACEAE,POLYTRICHUM HEDW.,IGUAQUE,3.0,1996.0,2683053
17117,PLANTAE,BRYOPHYTA,BRYOPSIDA,POLYTRICHALES,POLYTRICHACEAE,POLYTRICHUM HEDW.,IGUAQUE,8.0,1996.0,2683053
17127,PLANTAE,BRYOPHYTA,BRYOPSIDA,POLYTRICHALES,POLYTRICHACEAE,POLYTRICHACEAE,IGUAQUE,6.0,2005.0,4669
17138,PLANTAE,BRYOPHYTA,BRYOPSIDA,POLYTRICHALES,POLYTRICHACEAE,POLYTRICHACEAE,IGUAQUE,12.0,2006.0,4669
17333,PLANTAE,TRACHEOPHYTA,POLYPODIOPSIDA,POLYPODIALES,POLYPODIACEAE,POLYPODIUM REMOTUM DESV.,PURACE,2.0,2006.0,8101929
17807,PLANTAE,BRYOPHYTA,BRYOPSIDA,POLYTRICHALES,POLYTRICHACEAE,"POLYTRICHASTRUM TENELLUM G.L.SMITH, 1975",GUACHAROS,11.0,2005.0,2682933
17816,PLANTAE,BRYOPHYTA,BRYOPSIDA,BRYALES,BRYACEAE,"POHLIA LEPTODONTIUM BROTHERUS, 1903",IGUAQUE,6.0,2005.0,5282614
17837,PLANTAE,BRYOPHYTA,BRYOPSIDA,BRYALES,BRYACEAE,POHLIA HEDW.,IGUAQUE,3.0,1996.0,2673641
17845,PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,HYLOCOMIACEAE,"PLEUROZIUM SCHREBERI MITTEN, 1869",CHINGAZA,12.0,2003.0,2679715
17938,PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,HYLOCOMIACEAE,PLEUROZIUM MITT.,SUMAPAZ,2.0,2002.0,2679714
17943,PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,HYLOCOMIACEAE,"PLEUROZIUM SCHREBERI MITTEN, 1869",TAMA,1.0,1999.0,2679715
17992,PLANTAE,BRYOPHYTA,BRYOPSIDA,POLYTRICHALES,POLYTRICHACEAE,"POGONATUM CAMPYLOCARPON MITTEN, 1869",GALERAS,1.0,1995.0,2682982
18056,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,PODOCARPACEAE,PODOCARPUS OLEIFOLIUS VAR. MACROSTACHYUS (PARL.) J.T.BUCHHOLZ & N.E.GRAY,IGUAQUE,12.0,2006.0,5286010
18771,PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,PLAGIOTHECIACEAE,"PLAGIOTHECIUM NOVOGRANATENSE MITTEN, 1869",IGUAQUE,6.0,2005.0,5283468
18776,PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,PLAGIOTHECIACEAE,"PLAGIOTHECIUM NOVOGRANATENSE MITTEN, 1869",IGUAQUE,6.0,2005.0,5283468
18780,PLANTAE,BRYOPHYTA,BRYOPSIDA,BRYALES,BRYACEAE,"POHLIA RICHARDSII A.J.SHAW, 1982",IGUAQUE,6.0,2005.0,5282558
18781,PLANTAE,BRYOPHYTA,BRYOPSIDA,BRYALES,MNIACEAE,"PLAGIOMNIUM RHYNCHOPHORUM T.KOPONEN, 1971",GUACHAROS,11.0,2005.0,2677620
18819,PLANTAE,BRYOPHYTA,BRYOPSIDA,BRYALES,MNIACEAE,"PLAGIOMNIUM RHYNCHOPHORUM T.KOPONEN, 1971",GUACHAROS,11.0,2005.0,2677620
18823,PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,BRACHYTHECIACEAE,"PLATYHYPNIDIUM AQUATICUM FLEISCHER, 1923",IGUAQUE,12.0,2006.0,2679818
18834,PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,BRACHYTHECIACEAE,"PLATYHYPNIDIUM AQUATICUM FLEISCHER, 1923",IGUAQUE,6.0,2005.0,2679818
18840,PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,BRACHYTHECIACEAE,"PLATYHYPNIDIUM AQUATICUM FLEISCHER, 1923",IGUAQUE,12.0,2006.0,2679818
18851,PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,BRACHYTHECIACEAE,"PLATYHYPNIDIUM AQUATICUM FLEISCHER, 1923",TAMA,1.0,1999.0,2679818
18857,PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,BRACHYTHECIACEAE,"PLATYHYPNIDIUM AQUATICUM FLEISCHER, 1923",IGUAQUE,6.0,2005.0,2679818
18860,PLANTAE,BRYOPHYTA,BRYOPSIDA,BRYALES,MNIACEAE,"PLAGIOMNIUM RHYNCHOPHORUM T.KOPONEN, 1971",IGUAQUE,12.0,2006.0,2677620
18864,PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,BRACHYTHECIACEAE,"PLATYHYPNIDIUM AQUATICUM FLEISCHER, 1923",IGUAQUE,12.0,2006.0,2679818
19050,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ASPARAGALES,ORCHIDACEAE,PLEUROTHALLIS R.BR.,IGUAQUE,12.0,2006.0,7941720
19080,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ASPARAGALES,ORCHIDACEAE,PLEUROTHALLIS R.BR.,TAMA,11.0,1998.0,7941720
19108,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,JUNGERMANNIALES,PLAGIOCHILACEAE,PLAGIOCHILACEAE,IGUAQUE,12.0,2006.0,2278
19239,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,JUNGERMANNIALES,PLAGIOCHILACEAE,PLAGIOCHILACEAE,IGUAQUE,6.0,2005.0,2278
20197,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,JUNGERMANNIALES,PLAGIOCHILACEAE,PLAGIOCHILACEAE,GALERAS,5.0,1995.0,2278
20331,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,JUNGERMANNIALES,PLAGIOCHILACEAE,PLAGIOCHILACEAE,IGUAQUE,8.0,1995.0,2278
20365,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,JUNGERMANNIALES,PLAGIOCHILACEAE,PLAGIOCHILACEAE,IGUAQUE,8.0,1996.0,2278
20445,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,JUNGERMANNIALES,PLAGIOCHILACEAE,PLAGIOCHILACEAE,IGUAQUE,6.0,2005.0,2278
20565,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,JUNGERMANNIALES,PLAGIOCHILACEAE,PLAGIOCHILACEAE,IGUAQUE,11.0,1996.0,2278
20633,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,JUNGERMANNIALES,PLAGIOCHILACEAE,PLAGIOCHILACEAE,SUMAPAZ,2.0,2002.0,2278
20898,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,JUNGERMANNIALES,PLAGIOCHILACEAE,PLAGIOCHILA CRISTATA (SW.) LINDENB.,GUACHAROS,11.0,2005.0,7664165
20995,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,"PLATYRRHINUS HELLERI (PETERS, 1866)",SIERRA NEVADA DE SANTA MARTA,6.0,1995.0,5218762
21051,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,"PLATYRRHINUS VITTATUS (PETERS, 1860)",SIERRA NEVADA DE SANTA MARTA,6.0,1995.0,5218764
21152,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,JUNGERMANNIALES,PLAGIOCHILACEAE,PLAGIOCHILA RADDIANA LINDENB.,IGUAQUE,6.0,2005.0,7430359
21189,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,JUNGERMANNIALES,PLAGIOCHILACEAE,PLAGIOCHILA DISTINCTIFOLIA LINDENB.,GUACHAROS,11.0,2005.0,8024896
21234,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,JUNGERMANNIALES,PLAGIOCHILACEAE,PLAGIOCHILA AEREA TAYLOR,GUACHAROS,11.0,2005.0,7909313
21253,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,PLAGIOCHEILUS SOLIVAEFORMIS DC.,CHINGAZA,11.0,2002.0,3088181
21265,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,PLAGIOCHEILUS SOLIVAEFORMIS DC.,CHINGAZA,11.0,2002.0,3088181
21316,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,JUNGERMANNIALES,PLAGIOCHILACEAE,PLAGIOCHILA AEREA TAYLOR,GUACHAROS,11.0,2005.0,7909313
21339,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,JUNGERMANNIALES,PLAGIOCHILACEAE,PLAGIOCHILA BIFARIA (SW.) LINDENB.,GUACHAROS,11.0,2005.0,8100531
21342,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,JUNGERMANNIALES,PLAGIOCHILACEAE,PLAGIOCHILA BIFARIA (SW.) LINDENB.,GUACHAROS,11.0,2005.0,8100531
21392,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,JUNGERMANNIALES,PLAGIOCHILACEAE,PLAGIOCHILA DIVERSIFOLIA LINDENB. & GOTTSCHE,GUACHAROS,11.0,2005.0,8355224
21404,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,JUNGERMANNIALES,PLAGIOCHILACEAE,PLAGIOCHILA DISTICHA (LEHM. & LINDENB.) LINDENB.,GUACHAROS,11.0,2005.0,7524739
21850,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,JUNGERMANNIALES,PLAGIOCHILACEAE,PLAGIOCHILA DISTINCTIFOLIA LINDENB.,GUACHAROS,11.0,2005.0,8024896
21879,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,JUNGERMANNIALES,PLAGIOCHILACEAE,PLAGIOCHILA DISTINCTIFOLIA LINDENB.,GUACHAROS,11.0,2005.0,8024896
22560,PLANTAE,BRYOPHYTA,BRYOPSIDA,LEUCODONTALES,METEORIACEAE,PILOTRICHELLA,IGUAQUE,3.0,1996.0,8409232
22564,PLANTAE,BRYOPHYTA,BRYOPSIDA,LEUCODONTALES,METEORIACEAE,PILOTRICHELLA,IGUAQUE,3.0,1996.0,8409232
22893,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,URTICACEAE,PILEA SMITHII KILLIP,IGUAQUE,6.0,2005.0,5670403
22928,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,URTICACEAE,PILEA SMITHII KILLIP,IGUAQUE,6.0,2005.0,5670403
23184,PLANTAE,BRYOPHYTA,BRYOPSIDA,LEUCODONTALES,METEORIACEAE,"PILOTRICHELLA FLEXILIS A…NGSTRA¶M, 1876",IGUAQUE,6.0,2005.0,2677818
23198,PLANTAE,BRYOPHYTA,BRYOPSIDA,LEUCODONTALES,METEORIACEAE,"PILOTRICHELLA FLEXILIS A…NGSTRA¶M, 1876",IGUAQUE,6.0,2005.0,2677818
23216,PLANTAE,BRYOPHYTA,BRYOPSIDA,LEUCODONTALES,METEORIACEAE,"PILOTRICHELLA FLEXILIS A…NGSTRA¶M, 1876",TAMA,1.0,1999.0,2677818
23238,PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,PHYLLOGONIACEAE,"PHYLLOGONIUM FULGENS BRIDEL, 1827",GUACHAROS,11.0,2005.0,2673668
23405,PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,PHYLLOGONIACEAE,"PHYLLOGONIUM VISCOSUM MITTEN, 1869",GUACHAROS,11.0,2005.0,2673666
23603,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,"PHYLLOSTOMUS DISCOLOR WAGNER, 1843",SIERRA NEVADA DE SANTA MARTA,7.0,1995.0,2433280
23690,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,"PHYLLOSTOMUS HASTATUS PANAMENSIS J.A.ALLEN, 1904",SIERRA NEVADA DE SANTA MARTA,7.0,1995.0,4265392
23708,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,"PHYLLOSTOMUS HASTATUS PANAMENSIS J.A.ALLEN, 1904",SIERRA NEVADA DE SANTA MARTA,6.0,1995.0,4265392
24120,PLANTAE,BRYOPHYTA,BRYOPSIDA,BRYALES,BARTRAMIACEAE,"PHILONOTIS ELONGATA H.CRUM & STEERE, 1956",IGUAQUE,6.0,2005.0,2676075
24149,PLANTAE,BRYOPHYTA,BRYOPSIDA,BRYALES,BARTRAMIACEAE,"PHILONOTIS ANDINA JAEGER, 1875",GALERAS,1.0,1995.0,2676134
24167,PLANTAE,BRYOPHYTA,BRYOPSIDA,BRYALES,BARTRAMIACEAE,"PHILONOTIS SPHAEROCARPA BRIDEL, 1827",GUACHAROS,11.0,2005.0,2676119
24179,PLANTAE,BRYOPHYTA,BRYOPSIDA,BRYALES,BARTRAMIACEAE,"PHILONOTIS SPHAEROCARPA BRIDEL, 1827",GUACHAROS,11.0,2005.0,2676119
24182,PLANTAE,BRYOPHYTA,BRYOPSIDA,BRYALES,BARTRAMIACEAE,"PHILONOTIS SPHAEROCARPA BRIDEL, 1827",GUACHAROS,11.0,2005.0,2676119
24189,PLANTAE,BRYOPHYTA,BRYOPSIDA,BRYALES,BARTRAMIACEAE,"PHILONOTIS SPHAEROCARPA BRIDEL, 1827",GUACHAROS,11.0,2005.0,2676119
24190,PLANTAE,BRYOPHYTA,BRYOPSIDA,BRYALES,BARTRAMIACEAE,"PHILONOTIS SPHAEROCARPA BRIDEL, 1827",GUACHAROS,11.0,2005.0,2676119
24198,PLANTAE,BRYOPHYTA,BRYOPSIDA,BRYALES,BARTRAMIACEAE,"PHILONOTIS SPHAEROCARPA BRIDEL, 1827",GUACHAROS,11.0,2005.0,2676119
24204,PLANTAE,BRYOPHYTA,BRYOPSIDA,BRYALES,BARTRAMIACEAE,"PHILONOTIS UNCINATA BRIDEL, 1827",GUACHAROS,11.0,2005.0,2676140
24225,PLANTAE,BRYOPHYTA,BRYOPSIDA,BRYALES,BARTRAMIACEAE,"PHILONOTIS UNCINATA BRIDEL, 1827",IGUAQUE,6.0,2005.0,2676140
24275,PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,PHYLLOGONIACEAE,PHYLLOGONIACEAE,TAMA,11.0,1997.0,2445
24948,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,STRABOMANTIDAE,"PHRYNOPUS NANUS (GOIN & COCHRAN, 1963)",TAMA,3.0,2003.0,2425874
25077,ANIMALIA,CHORDATA,AVES,PHAETHONTIFORMES,PHAETHONTIDAE,"PHAETHON AETHEREUS MESONAUTA J.L.PETERS, 1930",TAYRONA,3.0,2003.0,6178269
25229,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,PENTACALIA ABIETINA (WILLD. EX WEDD.) CUATREC.,CHINGAZA,1.0,2003.0,3111523
25290,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,PENTACALIA GUADALUPE (CUATREC.) CUATREC.,IGUAQUE,10.0,2002.0,3111552
25302,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,PENTACALIA CORYMBOSA (BENTH.) CUATREC.,IGUAQUE,4.0,2004.0,3111468
25307,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,PENTACALIA CORYMBOSA (BENTH.) CUATREC.,IGUAQUE,6.0,2005.0,3111468
25326,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,PENTACALIA GUADALUPE (CUATREC.) CUATREC.,IGUAQUE,6.0,2005.0,3111552
25338,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,PENTACALIA GUADALUPE (CUATREC.) CUATREC.,CHINGAZA,8.0,2004.0,3111552
25405,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,PENTACALIA PULCHELLA (KUNTH) CUATREC.,TAMA,8.0,2001.0,3111507
25413,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,PENTACALIA NITIDA (KUNTH) CUATREC.,CHINGAZA,1.0,2003.0,3111425
25480,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,PENTACALIA PULCHELLA (KUNTH) CUATREC.,TAMA,8.0,2001.0,3111507
